GSM2858677	GSM2858679	GSM2858680	GSM2858681	GSM2858683	GSM2858684	GSM2858685	GSM2858687	GSM2858689	GSM2858691	GSM2858693	GSM2858695	GSM2858696	GSM2858697	GSM2858698	GSM2858700	GSM2858702	GSM2858703	GSM2858704	GSM2858706	GSM2858708	GSM2858709	GSM2858710	GSM2858712	GSM2858714	GSM2858715	GSM2858717	GSM2858719	GSM2858720	GSM2858721	GSM2858722	GSM2858723	GSM2858724	GSM2858725	GSM2858728	GSM2858730	GSM2858731	GSM2858732	GSM2858733	GSM2858734	GSM2858735	GSM2858736	GSM2858737	GSM2858738	GSM2858740	GSM2858741	GSM2858743	GSM2858744	GSM2858745	GSM2858747	GSM2858750	GSM2858751	GSM2858752	GSM2858753	GSM2858754	GSM2858755	GSM2858756	GSM2858757	GSM2858758	GSM2858759	GSM2858762	GSM2858763	GSM2858764	GSM2858765	GSM2858768	GSM2858769	GSM2858770	GSM2858771	GSM2858773	GSM2858774	GSM2858775	GSM2858776	GSM2858777	GSM2858778	GSM2858779	GSM2858781	GSM2858782	GSM2858783	GSM2858784	GSM2858785	GSM2858786	GSM2858787	GSM2858788	GSM2858790	GSM2858791	GSM2858793	GSM2858794	GSM2858795
644242	8	11	6	7	6	6	6	6	7	6	6	5	5	5	6	6	6	7	6	6	6	6	6	6	6	5	5	6	6	6	6	6	6	6	7	6	6	7	5	6	6	6	7	6	6	6	5	7	9	6	6	6	6	6	6	5	7	6	6	6	6	7	6	5	6	7	6	6	6	6	6	7	7	6	6	7	6	7	5	6	5	7	6	6	7	6	6	6
90874	8	9	8	8	8	8	8	8	8	8	8	7	7	7	7	8	7	7	7	6	7	7	8	7	7	7	7	8	7	7	8	7	7	8	9	7	7	7	7	7	7	7	10	7	7	7	7	8	9	7	7	8	9	8	7	7	8	7	8	7	7	7	7	7	8	8	7	7	7	7	7	7	8	7	8	8	7	8	7	7	7	7	7	7	7	8	8	7
3158	5	12	5	5	5	5	5	6	4	5	5	4	5	4	5	5	5	5	5	5	5	5	4	5	6	5	4	5	5	10	5	7	5	5	4	5	5	5	5	5	5	5	4	5	6	5	4	5	4	4	5	4	5	4	4	5	5	4	4	4	5	5	5	4	5	5	12	4	4	4	4	4	4	5	9	4	4	4	4	5	5	4	4	4	5	4	5	5
83998	5	5	5	5	4	5	5	4	4	5	5	4	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	4	5	5	4	5	4	5	5	5	5	4	5	4	5	5	5	4	5	5	4	4	5	4	5	4	4	4	5	4	4	5	5	5	5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	4	4	5	4	5	4
11085	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	6	5	5	5	5	5	4	5	5	5	5	5	5	6	6	5	6	4	5	5	5	6	5	6	5	5	5	5	5	5	7	4	5	5	4	5	5	4	4	5	4	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	5	5	4	5	4	5	5	5	5	5	5	4	5	4
4853	10	12	8	8	8	8	8	9	8	9	9	8	8	9	8	9	8	8	8	9	8	7	9	9	8	8	9	8	8	8	8	8	8	8	9	10	7	8	7	8	8	9	8	8	8	8	8	7	11	8	8	10	8	11	9	9	8	10	10	9	8	8	9	9	8	9	9	8	8	9	9	15	9	8	9	9	10	9	9	9	8	8	9	9	8	9	8	9
644591	6	5	8	7	5	6	6	5	6	6	6	6	5	6	5	5	6	5	5	6	5	5	6	5	7	5	5	6	6	6	6	6	5	6	5	6	6	7	5	6	6	7	5	5	7	5	5	6	5	5	5	5	5	5	5	5	7	5	5	5	7	7	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	6	6	6	5	6	5	6	5	5	5	5
767846	12	11	11	10	11	10	11	10	10	10	10	10	10	10	11	11	11	9	9	10	9	11	10	9	11	10	10	10	8	9	9	9	10	9	10	10	9	11	9	11	9	13	8	10	11	10	11	10	10	10	9	11	11	11	11	10	10	10	11	9	10	10	11	12	11	11	10	10	11	12	12	12	11	10	11	10	10	12	11	11	10	9	11	10	10	11	10	10
105371260	7	7	7	7	7	7	7	7	6	7	6	7	7	6	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	6	7	7	7	7	7	6	7	7	6	7	7	7	8	6	6	7	6	7	6	6	6	7	6	6	7	7	7	7	7	7	6	6	6	6	7	6	7	6	7	6	6	6	7	6	7	7	7	7	7	7	6	7	6
114814	6	6	7	7	7	7	6	6	6	7	6	6	7	6	6	6	7	7	6	6	7	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	7	6	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	7	6	6	6	6	6	6	6
200035	6	5	6	6	6	6	5	5	5	6	6	6	6	5	6	6	6	5	6	5	6	6	6	5	6	6	6	6	6	5	6	5	6	6	5	6	6	5	6	6	6	6	5	5	6	5	6	6	6	5	6	5	6	5	5	5	6	5	5	5	5	5	6	6	6	6	5	5	6	6	5	6	5	6	5	5	5	6	6	6	6	5	6	5	6	5	5	5
10623	7	6	7	6	8	7	7	7	7	7	8	8	7	8	7	7	7	6	7	8	7	7	7	7	7	7	7	7	6	7	7	7	7	7	8	8	7	7	7	7	7	8	7	6	6	7	8	6	7	7	7	8	7	8	8	7	7	8	8	7	7	6	8	8	7	8	7	8	8	9	8	9	8	8	7	7	8	8	9	7	7	6	8	7	7	8	8	8
11126	6	6	6	6	6	6	6	5	6	5	6	6	6	5	6	5	6	6	6	5	7	6	5	5	6	6	5	6	5	6	6	6	5	6	5	6	7	6	6	6	6	5	6	5	6	5	5	6	5	5	6	5	5	5	6	5	6	5	6	6	6	5	6	6	6	5	6	5	5	6	5	6	5	6	5	6	5	6	6	6	6	6	6	6	5	5	6	5
5565	8	8	7	7	7	7	8	7	7	7	7	7	6	8	7	7	6	7	7	6	7	7	7	7	7	6	7	7	6	7	6	7	7	6	7	7	7	6	7	7	6	7	6	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	8	7	7	7	7	7	7	7	7	6	7	7	7	6	6	8	7	7
2330	5	7	5	5	5	5	6	5	5	5	5	5	5	6	5	6	5	6	5	6	6	5	6	5	6	6	5	5	6	8	5	6	5	6	5	5	5	5	5	5	5	5	5	6	5	5	5	5	6	5	5	5	5	5	6	5	5	5	5	5	5	5	5	6	5	5	7	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5
100289211	4	9	5	6	4	5	5	10	4	4	5	4	5	4	5	5	5	6	5	5	5	5	5	5	6	4	4	5	4	11	4	7	4	5	4	5	6	5	5	5	5	4	4	5	5	4	4	6	4	4	5	4	5	5	4	9	5	4	4	4	5	6	5	4	5	4	9	4	4	4	4	4	4	4	6	4	4	4	4	5	4	5	4	5	5	4	4	4
51205	6	6	6	6	6	6	7	6	6	6	6	6	6	5	6	6	6	6	6	7	6	6	7	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	7	6	10	6	6	6	6	6	6	6	7	6	6	6	6	6	8	6	6	6	6	6	6	6	7	6	6	7	7	6	6	6	7	6	6	6	7	7	6	6	6	6	6	6	6	6	6
2702	6	6	7	6	7	7	6	6	6	6	7	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	7	6	7	7	6	6	6	6	6	7	7	6	6	7	6	6	6	6	7	6	7	6	6	5	6	7	6	7	6	6	6	6	6	8	6	6	6	6	6	6	7	6	6	6	6	5	6	7	7	6	6	6	7	6
100847044	6	5	8	7	6	7	7	5	5	6	6	6	8	6	6	5	7	7	6	5	6	7	6	7	7	6	6	6	5	5	5	7	5	6	6	7	6	6	6	6	5	8	6	9	8	5	5	7	5	5	7	6	6	5	5	5	7	6	5	5	6	7	9	6	6	5	5	6	6	6	6	5	5	7	5	5	5	8	6	6	6	6	6	6	8	5	6	5
101954267	11	10	10	9	12	10	11	10	10	11	10	11	10	11	10	11	9	10	11	11	10	11	9	10	10	11	11	10	10	8	11	10	10	11	10	10	10	10	10	10	11	10	10	9	10	9	10	9	10	9	11	9	10	8	10	10	10	10	10	10	9	9	10	10	10	10	10	10	11	9	10	9	10	10	10	10	9	12	10	11	11	11	10	10	12	10	10	10
101954269	17	16	15	16	17	17	17	16	16	17	17	17	16	17	16	17	16	16	16	17	16	16	14	15	16	18	16	16	16	15	17	16	15	18	15	14	17	16	17	16	17	16	17	14	16	16	15	15	15	15	19	14	17	14	16	16	15	15	15	14	16	15	15	16	16	16	15	16	15	16	14	15	15	16	15	16	14	16	15	17	16	17	16	16	16	15	16	15
100616342	15	19	15	13	19	18	17	19	18	18	16	15	18	17	16	18	14	17	18	18	17	18	17	19	10	20	18	17	20	16	17	13	12	19	12	10	19	13	18	13	18	12	15	16	14	18	16	10	16	13	17	10	19	16	17	18	13	13	15	17	14	14	10	16	18	16	13	15	18	13	11	14	16	17	14	16	11	15	12	18	19	19	17	18	18	15	16	11
653604	6	6	5	6	4	5	6	6	5	5	4	5	5	5	5	4	6	5	5	5	4	6	6	5	5	6	4	4	4	5	5	4	6	5	5	5	4	5	5	5	5	5	3	5	5	6	4	5	5	5	5	5	5	6	5	4	5	5	4	5	4	4	6	5	4	5	4	4	5	5	4	4	4	5	4	4	4	5	4	4	5	4	5	4	4	4	4	5
8349	10	9	8	9	9	8	11	9	9	9	8	10	9	12	11	8	8	8	7	12	8	9	11	9	8	9	9	8	7	8	8	8	9	8	9	9	8	8	7	8	9	9	9	10	8	9	9	7	10	9	9	12	7	9	9	9	9	10	11	9	9	8	9	11	9	10	10	11	9	10	9	11	11	10	9	10	11	10	11	10	9	9	11	11	9	9	9	11
317772	10	8	8	8	10	8	10	8	9	9	8	11	9	10	8	8	8	10	8	10	8	8	9	10	8	9	8	8	7	8	8	8	9	8	9	10	9	9	8	8	8	9	9	9	8	8	9	8	8	9	7	10	7	9	8	9	9	10	9	8	8	7	8	9	8	9	8	9	9	10	9	10	9	10	8	8	9	10	9	8	9	9	9	10	9	8	9	8
9900	6	5	6	6	5	6	6	5	5	5	5	5	6	5	5	6	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	5	5	5	5	5	6	5	5	6	6	6	6	6	6	5	5	5	6	5	5	5	6	5	5	6	6	6	5	6	6	6	5	6	6	5	6	5
10262	8	7	6	6	7	6	7	6	6	6	7	7	7	7	8	7	6	6	6	7	6	7	6	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	6	6	6	6	7	6	7	6	6	7	7	7	6	6	6	7	7	6	6	6	6	7	6	6	6	7	7	7	7	7	6	7	6	7	7	7	8	7	7	6	6	6	6	7	7	6
10903	6	6	6	6	6	6	7	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	5	6	5	6	6	6	6	6	6	6	6	6	6	6	7	6	6	5	6	6	6	7	6	7	6	6	6	6	6	6	6	6	6	7	6	6	5	6	8	6	6	6	7	6	6	6	6	6
56957	7	6	6	6	7	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	6	6	6	6	6	6	7	6	6	6	7	6	6	7	6	6	7	6	6	7	6	6	7	7	6	6	7	7	7	6	7	6	7	7	8	6	8	6	7	6	6	7	8	8	6	6	6	7	7	6	7	6	6
81611	12	7	9	8	10	8	9	7	8	8	8	10	10	9	9	9	9	8	8	9	8	9	8	9	8	9	9	8	7	7	8	7	9	7	10	9	7	9	8	9	8	10	8	10	9	9	10	7	9	8	8	10	8	9	10	8	9	9	10	8	9	9	10	9	9	9	7	10	9	11	9	10	9	9	7	10	10	10	11	8	9	8	10	9	9	9	10	9
51107	8	7	7	6	8	6	7	7	7	6	7	8	7	8	8	7	7	7	7	7	6	6	8	7	7	7	7	7	6	8	7	6	7	7	7	8	7	6	7	6	6	7	7	8	6	7	7	7	8	7	6	8	6	7	7	7	7	8	8	7	6	7	7	8	7	7	7	8	7	8	8	8	7	7	7	7	8	7	9	7	7	7	7	7	7	8	7	8
4170	11	9	8	8	10	9	9	10	10	10	10	10	8	10	10	10	10	8	9	10	8	9	10	10	8	10	9	9	9	9	9	8	10	9	10	9	9	9	9	10	10	12	9	11	9	10	11	7	10	9	10	11	9	9	11	9	8	9	10	9	10	9	9	9	9	10	10	11	10	11	10	11	9	11	10	9	10	9	12	9	9	9	11	10	9	10	10	11
2029	10	9	8	8	9	8	9	9	8	9	8	9	9	9	9	9	9	7	8	9	8	10	9	9	8	8	8	8	7	9	7	8	8	8	9	9	8	8	7	9	8	12	8	11	8	8	10	7	9	9	8	10	8	9	10	8	8	9	9	8	8	9	9	10	8	10	9	9	10	11	9	10	9	10	9	9	9	9	12	9	8	8	10	9	8	9	9	9
55204	10	8	8	8	8	7	9	8	9	9	8	9	8	9	9	10	9	7	7	8	7	8	8	9	8	8	8	8	7	7	7	7	7	7	9	8	7	8	7	8	8	11	9	11	8	7	9	7	9	8	8	10	8	9	9	8	7	8	9	8	8	8	9	8	8	10	9	9	9	9	9	10	8	8	8	8	9	8	13	7	8	7	9	8	7	9	8	8
84072	5	6	7	7	5	6	7	5	7	7	6	5	6	8	6	8	7	6	6	5	6	6	6	7	6	6	6	7	6	6	6	6	7	6	5	7	6	6	6	6	6	9	7	8	6	6	7	6	7	5	6	9	6	7	6	5	6	5	8	6	6	6	6	7	6	5	5	5	7	5	8	8	6	6	6	5	9	6	11	7	7	6	7	6	6	6	7	5
1520	9	9	8	9	11	8	8	10	9	8	10	11	8	9	8	8	8	7	8	9	8	8	11	9	8	9	9	8	8	9	9	8	8	8	9	10	9	9	7	9	10	10	8	9	8	9	10	8	9	9	10	9	8	11	10	9	8	9	9	10	9	8	8	8	9	8	12	11	8	9	9	10	10	9	8	9	9	9	12	8	9	9	11	10	8	11	9	11
1513	8	10	8	8	11	8	7	11	10	8	11	9	7	9	9	10	9	8	8	7	7	8	11	8	7	9	11	9	7	10	10	11	9	8	11	9	9	9	7	10	8	9	8	11	9	11	10	7	11	12	9	10	11	9	10	12	7	10	8	11	9	9	9	8	11	10	11	8	11	9	11	9	12	9	11	10	9	8	9	8	9	9	10	9	9	10	10	10
405	9	8	8	8	9	7	8	8	8	8	8	8	7	9	8	9	8	7	7	8	8	8	8	8	7	8	8	8	7	7	8	7	8	7	9	8	8	8	7	8	7	8	8	10	7	8	8	7	8	8	7	9	8	8	9	8	7	8	9	8	8	8	8	8	8	8	8	8	8	9	9	9	9	8	8	8	8	8	10	8	8	7	8	8	7	9	8	9
29956	10	9	8	8	9	8	8	9	8	8	9	9	8	9	9	8	8	8	8	9	8	8	9	9	8	8	8	8	8	8	8	8	8	8	9	9	8	7	8	8	8	8	8	10	8	9	9	7	9	9	8	9	8	9	9	8	8	9	9	8	8	8	8	8	8	9	9	9	9	10	9	10	9	9	8	8	9	9	11	9	8	8	9	9	8	9	9	9
55793	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	6	7	7	7	7	7	7	7	6	7	7	6	7	7	7	7	6	7	7	7	7	7	7	7	7	7	6	7	7	6	7	6	7	6	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	6	6	7	8	7	7	6	7	7	7	8	7	7
56882	10	8	8	7	9	8	8	8	8	9	8	8	8	9	9	8	8	7	7	8	7	8	9	9	7	8	9	8	7	8	8	7	8	8	9	8	8	8	8	8	7	8	8	10	8	8	9	7	9	9	8	9	8	8	9	8	8	9	9	9	8	8	9	8	8	10	9	9	10	10	9	9	9	9	9	8	8	9	10	8	8	8	9	8	8	9	9	8
10500	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6
388695	8	6	7	6	7	6	7	6	6	6	6	6	7	6	6	7	7	6	6	6	7	7	6	7	6	6	7	6	6	6	6	6	6	6	7	7	7	6	6	6	6	7	7	8	7	6	7	6	7	7	6	7	6	6	7	6	6	6	7	6	6	6	7	7	6	7	6	7	7	7	7	7	6	7	6	6	6	8	8	7	7	6	6	6	6	6	6	6
5298	9	7	8	7	8	7	8	7	7	7	8	8	8	8	7	7	7	7	7	8	7	7	8	8	7	7	7	7	7	7	7	7	7	7	8	8	7	7	7	7	7	7	7	9	7	7	8	7	8	7	7	8	7	8	7	7	7	8	8	7	7	7	7	8	7	8	7	8	8	9	8	8	7	8	7	7	8	8	10	8	7	7	8	8	7	8	7	8
5993	9	8	8	8	8	8	7	7	8	7	8	8	9	8	7	8	8	7	8	8	8	8	8	8	7	8	8	8	8	7	8	7	8	7	8	8	8	7	7	8	8	8	7	9	8	7	8	8	8	8	8	9	7	9	7	8	7	8	7	8	8	8	7	7	8	8	8	8	7	8	8	8	7	9	7	8	8	8	9	7	8	7	8	8	7	8	8	8
8991	7	7	7	7	7	6	6	7	6	6	6	7	7	6	7	7	7	6	7	7	7	7	8	8	7	6	6	6	8	7	6	7	6	7	7	6	7	7	6	6	6	9	6	8	6	7	8	7	7	7	6	7	6	6	6	7	7	7	6	7	6	7	7	6	6	7	7	7	7	7	6	6	6	7	6	6	6	6	8	6	7	7	6	7	7	6	6	7
23126	10	7	7	7	9	7	9	8	8	9	8	9	8	9	8	8	7	7	7	8	8	8	7	8	7	7	9	8	7	8	7	7	8	7	9	8	7	7	7	8	7	8	8	10	7	8	9	6	8	8	7	9	8	8	9	8	7	9	9	8	7	8	8	9	8	9	9	8	9	10	9	9	8	8	8	8	9	9	11	8	8	7	9	9	8	9	8	9
11022	7	6	7	7	6	7	6	6	6	6	6	7	6	6	7	7	6	6	6	6	6	6	7	7	7	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	8	6	6	7	6	7	6	6	7	6	7	6	6	7	7	6	6	6	6	7	7	6	7	6	7	7	8	6	7	6	7	6	6	7	6	7	6	6	6	7	6	6	7	6	6
11189	8	6	6	5	8	6	6	5	6	6	6	7	6	6	6	7	5	6	6	7	6	6	7	6	6	7	6	5	6	6	7	6	6	6	6	6	6	5	6	6	6	6	6	8	6	5	6	5	6	6	6	7	6	6	7	6	5	7	6	5	6	6	6	6	6	6	7	7	7	7	7	7	7	7	6	6	7	6	8	7	6	6	7	6	6	7	6	6
65005	9	7	7	7	7	7	7	7	7	7	7	8	8	7	7	7	7	7	7	8	7	8	7	7	7	7	7	7	7	7	7	7	7	7	8	8	7	7	7	7	7	8	7	9	7	7	8	7	7	7	7	8	7	8	7	7	7	8	7	7	7	7	8	7	7	8	7	8	7	8	8	7	7	8	7	7	7	8	8	8	7	7	8	7	7	8	7	7
100191040	8	6	6	7	7	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	7	6	7	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	5	6	6	6	7	5	6	5	5	6	5	6	5	5	6	5	6	6	6	6	6	7	6	6	5	6	6	8	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	6	5
284486	7	5	6	6	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	4	5	6	5	5	5	5	5	5	4	5	6	4	4	4	5	5	5	5	5	5	4	5	4	7	4	5	5	6	5	4	4	5	5	5	5	4	5	5	5	4	4	4
117145	8	7	7	7	6	7	6	6	6	6	7	7	6	7	6	6	7	7	6	6	7	7	6	7	7	7	6	6	6	6	7	6	6	6	6	7	7	6	6	7	6	7	6	7	7	6	7	6	7	6	6	7	6	7	6	6	7	7	7	6	7	7	7	7	7	7	7	7	7	8	7	7	6	7	7	7	7	7	7	6	7	6	7	6	7	7	6	7
6281	9	8	8	8	8	8	7	8	8	8	8	8	7	8	8	7	8	7	7	7	8	8	9	8	7	7	9	8	7	8	8	7	8	8	9	8	8	8	7	7	7	8	7	9	7	9	8	7	9	8	7	9	7	7	9	9	8	7	8	9	8	8	8	7	8	8	8	9	9	8	8	9	8	9	8	8	9	9	9	7	8	8	8	8	8	9	8	9
6282	12	11	9	10	11	9	10	11	10	9	11	11	8	11	11	9	10	8	9	10	9	10	12	11	7	10	10	9	8	11	9	9	10	9	11	11	10	9	9	9	9	10	8	12	10	11	12	9	12	10	9	11	10	11	10	11	9	12	11	11	9	10	10	9	10	11	11	12	11	11	11	11	10	11	10	11	11	10	12	10	9	10	11	10	9	11	11	11
126637	5	5	6	6	5	5	5	4	5	5	4	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	6	4	4	4	4	5	4	4	4	5	5	4	4	4	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	6	4	4	5	4	4	4
7062	6	5	7	7	5	6	5	6	5	6	6	5	6	5	5	6	7	6	5	6	6	5	6	6	6	6	6	6	6	6	6	7	5	6	6	6	6	6	5	6	5	6	6	5	6	6	5	7	5	5	6	5	5	5	5	5	6	6	5	6	6	7	7	6	5	5	6	5	5	5	5	5	5	6	6	6	5	6	6	6	7	6	6	6	6	6	6	5
126638	5	5	6	6	5	5	5	5	5	5	4	5	5	5	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	4	5	5	4	5	4	5	5	5	6	5	5	5	5	5	5	5	4	6	4	4	4	4	4	5	4	4	5	4	4	5	5	5	5	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	5	4	4	5	4	4	4
388697	5	4	6	5	5	5	5	4	6	4	5	4	5	4	4	6	5	5	5	4	5	5	5	4	6	5	5	4	4	5	4	5	4	4	4	4	5	4	6	4	5	4	4	4	5	5	5	5	5	4	5	4	4	4	4	4	5	4	5	5	5	5	5	5	4	4	4	4	5	6	4	4	5	4	5	4	4	5	4	5	4	5	5	4	5	4	4	4
2312	6	5	6	6	5	6	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	6	5	5	4	5	5	5	5	5	5	5	5	5	6	5	5	6	5	5	5	4	5	5	5	4	6	4	6	5	5	6	6	5	5	4	5	4	5	5	5	4	5	5	5	4	4	5	4	5	5	6	5	5	5	5	5	5
388698	5	4	5	5	4	4	5	4	4	4	4	4	5	4	5	4	5	5	5	4	5	4	4	4	5	4	4	4	5	4	5	5	4	4	4	4	5	4	5	4	4	4	4	4	4	5	4	5	4	4	5	4	4	4	4	4	5	4	4	5	4	5	5	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	5	5	4	4	4	4	4	4
49860	6	5	6	6	5	6	6	5	5	5	5	5	5	6	5	6	6	6	5	5	5	5	5	5	7	6	5	6	6	5	6	6	6	6	5	6	6	6	6	6	5	5	6	6	6	5	5	6	5	5	6	5	6	5	5	5	6	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5
353145	7	6	8	8	6	7	6	6	7	6	6	7	7	7	6	6	7	6	6	7	6	7	7	6	7	7	6	7	6	7	7	6	7	7	6	7	7	7	7	7	6	6	6	7	7	7	6	8	6	6	7	6	6	6	5	6	8	6	6	6	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
84648	7	7	8	8	7	7	7	6	7	7	6	7	7	6	6	7	8	8	6	6	6	6	7	6	7	7	6	7	7	7	7	7	7	6	6	7	7	7	6	7	7	6	6	7	7	7	7	8	7	6	6	6	6	7	5	6	8	6	6	6	6	7	6	6	6	6	6	6	5	6	6	6	6	6	6	6	5	6	6	6	7	6	6	6	6	5	6	6
353142	5	5	5	6	5	5	5	5	6	5	5	5	5	5	5	5	6	5	5	4	5	5	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	6	5	5	5	5	5	5	5	5	6	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5
353133	5	5	6	6	5	6	6	5	5	5	5	5	5	5	5	5	6	5	5	5	6	5	5	5	6	5	5	5	5	6	5	6	6	5	5	6	5	6	5	6	6	6	5	6	6	6	6	6	5	5	5	5	4	5	6	5	6	5	5	5	5	6	6	6	5	5	5	5	5	5	5	5	5	5	5	6	5	6	5	6	6	6	5	5	6	5	6	5
101927988	5	5	6	6	4	5	6	5	4	4	6	4	5	5	5	4	5	6	5	5	5	5	5	4	6	5	5	6	5	5	5	5	5	5	5	5	5	6	5	6	6	5	5	5	5	5	5	5	4	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5	5	4	5	4	4	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	4	4	4
6704	6	5	7	7	4	6	5	5	5	5	6	5	6	5	5	6	7	5	6	5	5	6	6	5	7	6	7	5	5	5	5	6	6	6	5	6	6	6	6	6	5	5	5	6	6	6	5	6	5	4	4	5	5	5	4	4	7	15	5	5	6	6	8	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5
6706	6	6	7	6	5	5	6	5	5	5	6	6	5	5	5	5	5	6	6	5	6	5	5	5	6	6	5	5	6	5	6	6	6	6	5	6	5	6	6	6	6	5	5	5	5	6	6	6	6	5	5	5	6	6	5	5	6	9	5	5	5	6	6	6	6	5	5	5	5	5	5	5	5	6	5	5	5	5	5	6	5	6	5	6	6	5	5	5
114771	5	4	5	6	4	5	4	4	5	4	4	5	6	4	5	5	5	5	5	4	4	5	5	4	5	5	5	5	4	5	5	5	4	5	4	5	5	5	5	5	5	4	5	5	5	4	5	6	5	4	4	4	4	4	4	4	5	5	4	4	5	5	5	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4
57115	5	5	6	6	5	5	6	5	5	5	5	5	6	5	5	5	6	5	5	5	5	6	5	5	6	5	5	5	6	5	5	5	5	5	5	5	6	5	5	6	5	5	5	5	6	5	5	6	6	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5
6283	5	6	7	7	5	5	5	5	5	5	5	5	5	5	6	6	5	6	6	5	6	7	6	5	5	5	6	5	6	5	5	6	5	5	5	5	6	5	6	5	5	5	5	7	5	5	5	6	5	5	5	5	5	5	5	5	6	11	5	5	5	5	5	5	5	4	4	4	5	4	4	5	5	5	5	4	4	5	4	5	6	5	5	5	5	4	5	4
6279	7	7	6	7	8	7	6	9	6	6	8	7	6	7	10	6	6	6	6	6	6	13	12	6	7	6	8	7	6	7	6	7	7	10	8	7	8	6	9	9	6	7	6	14	7	8	9	7	6	7	6	8	6	6	7	8	7	13	5	6	7	7	8	6	8	7	8	7	8	7	7	6	6	8	7	6	6	6	7	6	6	6	10	6	7	7	7	7
6278	7	6	7	8	8	6	6	7	7	6	6	7	7	7	9	6	7	6	6	6	6	11	12	6	7	7	7	6	6	6	6	6	6	10	7	6	8	6	9	8	6	6	6	13	8	7	10	10	6	7	6	7	6	6	5	8	7	14	6	6	6	7	7	6	7	6	7	6	6	7	5	5	5	8	6	5	5	5	6	5	5	5	7	6	5	5	7	6
