Cluster_0	Cluster_1	Cluster_2	Cluster_3	Cluster_4	Cluster_5	Cluster_6	Cluster_7	Cluster_8
7161	0.334905330285287	-0.336015398704607	0.251892336983508	0.225666380058533	-0.28963941919785	-0.261147361592997	-0.00422350973163141	0.235913879445581	-0.0474745646678013
148870	0.527953987479472	-0.51420015639645	0.592327910682319	0.348717013733854	-0.284010765402626	-0.323386127976524	0.0420419579645283	0.222450898843163	0.17530419867402
388588	-0.256796297480016	0.232210217797194	-0.235829180436929	-0.0287850641456913	0.0774003889119406	0.202684726196548	0.0487239772672341	0.0311554650224166	-0.0319592860436792
1677	0.183953551740017	-0.195352492084273	0.0918961765061188	0.275603354341562	-0.124914176064437	-0.0968145834110213	0.0116076738232006	0.504489085956279	-0.0536579180382199
100133612	-0.0146460217704884	0.0371305024898023	0.00268117147123069	-0.0427600922405041	-0.113137927597996	-0.0612474939476632	0.0124917651207406	-0.0321714177124357	-0.0477503230081524
284661	0.438511596977811	-0.425581896086913	0.372626379861587	0.371369565266474	-0.366275995432514	-0.363037788557924	-0.104845858698199	0.25281621368252	-0.0294178725199645
55966	0.355603552891864	-0.352324874214459	0.394068440903394	0.184151655410829	-0.223102436491124	-0.11109307233678	0.0236344428381799	-0.0709708285416065	0.18027396425346
388591	0.0628880166357811	-0.0648968656357008	0.0772270940453942	0.0293465236602404	-0.0755612635613267	-0.204396210290631	-0.109705198772214	-0.0271089426190209	-0.0520658397373201
390992	0.402850902958168	-0.3753598757785	0.376873049164288	0.131634829461046	-0.322585117790924	-0.376491992248563	-0.104263960547456	-0.104413309636421	0.0177659841414891
83715	0.196946918458048	-0.210742824691249	0.152057864948243	0.157312224700695	-0.0782224247543634	-0.167174035140279	-0.113214745197136	0.0160277767890291	0.152090954490401
80835	0.452348928926812	-0.4701870747213	0.317957828649066	0.406523688481948	-0.189677935334058	-0.259783225476357	0.0448651442313534	0.227267075328642	0.288743924248737
3104	-0.00910430187326183	0.019769113523645	0.0154702562470786	-0.0619273333851771	0.157850511611775	-0.0620668890081631	0.108478931205513	0.0180120664984674	-0.0503502819094181
148479	-0.469577391403182	0.463468319511066	-0.462826041095725	-0.323902948394276	0.333328957910649	0.282401695798476	-0.0951795767972024	-0.00217194966395515	-0.123747077632605
90326	0.0745251013830841	-0.0805569772427279	0.0722959894648472	0.258203286810611	-0.0344793843671415	-0.172262493704524	-0.0294978425039664	0.413357126826993	-0.0525494284158219
23261	-0.421606461650782	0.429595787173968	-0.406668459606061	-0.30001171170427	0.247819041869627	0.237802127772263	-0.0680524211830606	-0.00117089243184493	-0.179239271115688
9341	-0.786649055523644	0.772243135912102	-0.750189062004605	-0.540406541722343	0.659876199369936	0.620392047105416	0.127688277631578	-0.0361774326854446	-0.157327271077647
8863	-0.400866504479267	0.38403536623735	-0.393612698035456	-0.365238385384553	0.267571075256524	0.412837309315429	-0.0214073690420583	0.00552291483287622	-0.0622513411332521
11315	-0.684644514805936	0.693248007189969	-0.683456540056731	-0.477393544604818	0.510098383212068	0.413187777139369	0.117717961342134	-0.00257213563590142	-0.0529604682149319
102724539	0.59778909638411	-0.589539301068793	0.497111692997134	0.494599991608279	-0.407202589523717	-0.40291078059556	-0.0338110122050469	0.249857770646692	-0.0350937354142491
50651	0.149381280780527	-0.158673151129679	0.0777651891279932	0.247897240569752	-0.117107299724795	-0.0949969402736048	0.0229755750123375	0.537993728136434	-0.0446200841235928
100505975	0.213882832540411	-0.189842537473836	0.240457053680779	0.0518737564500892	-0.140281869731257	-0.120225359213984	0.0466577416171148	-0.0165748642151691	-0.039766322909068
765	0.32756406380395	-0.305381587748753	0.35278785007306	0.264824632120001	-0.33886514905073	-0.300992638192073	-0.0901647999227238	0.112848999294692	-0.237948381254857
102724571	0.318320444446046	-0.289372866682711	0.352890195060388	-0.0172094159840648	-0.128797915791611	-0.196030917291161	0.00607076984030803	-0.137852382626021	0.0327065214659749
9563	-0.458747071684654	0.451334170356726	-0.451352122078728	-0.458471137376514	0.4278252719082	0.394665466253463	-0.0113249017893814	-0.141387512467948	0.0537932070994824
80176	-0.275713163314144	0.261189165893258	-0.26398846366059	-0.268156335341727	0.209280519671768	0.396594311228245	0.113942669908852	-0.0725314501664129	-0.0477604888456665
199953	-0.15831144630055	0.178381878190162	-0.110417502732946	-0.375573578055247	0.0677267382596843	0.0231221571389027	-0.131464408206419	-0.000407270186964029	-0.0435058828612405
