ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8
GSM2858696	-0.0483036011475387	0.0463660162431434	-0.0355551419450336	0.0417521150670678	-0.135826623754308	-0.137641510632795	-0.0821414964719889	-0.0158673071300469	-0.0250573150489318
GSM2858698	0.0277128323917704	-0.0615490195838993	0.0535423480423027	0.00217484311045676	-0.0389741398142665	-0.0245703610052511	-0.0136991615034892	0.0048320200102926	0.0516779610965446
GSM2858699	-0.101233893694995	-0.00101276365115309	-0.100807784006731	0.13162761010648	-0.0545551787656876	-0.0942192972091788	-0.0344556264660427	-0.0111895654600079	-0.0463274941060869
GSM2858700	-0.0308571340317537	0.0338914320229054	-0.0601437822162857	0.0698530104861339	-0.0944422884076035	0.073205112463066	-0.0307062093880095	-0.0401696663515332	-0.0607164164311943
GSM2858701	-0.0740475353856909	0.135570770548994	-0.0570506821805696	0.0315913854576507	0.0585031254902873	-0.0907752753383528	0.0249639352007044	-0.027831705395279	-0.0635170824823654
GSM2858703	-0.134974163207138	0.0568809340547928	-0.145890600311849	0.122773423387849	-0.113007554014666	-0.075694377298964	-0.110233120409805	1.24861745485111e-06	-0.0978463868048589
GSM2858705	-0.0436568188002714	0.0258245029025162	-0.0394689155875759	0.0697197134666606	-0.0183712128479024	0.0844677076192781	-0.039989785617816	0.0163173314578216	-0.0781732683563585
GSM2858708	-0.0607179985429083	0.0157200084078058	-0.063007194457387	0.0806689491064914	-0.133054518169767	-0.00271000506322776	-0.112236036934856	-0.0246233401741402	0.0303679924724514
GSM2858709	-0.0419456695538449	0.0163677003711964	-0.027071523602657	0.0430403043010207	-0.154836280048163	-0.098523394198011	-0.101039994537105	-0.0278746142793527	0.1532172864771
GSM2858710	0.0645801677648213	0.00720029312215589	0.0680814226589026	-0.10063738851097	0.100676125665673	0.0961440994746345	0.0808503034131791	0.106372802667716	-0.0153481639020882
GSM2858713	-0.118501443154786	0.118313097428214	-0.120526232061803	0.114351791101521	-0.063560326495453	-0.147845625424103	-0.0531338904756934	-0.00996917616813249	-0.0499399305454157
GSM2858714	-0.164669573109497	0.17897065624155	-0.156838660251441	0.0279272828774213	-0.137846376086595	-0.169863700503777	-0.126999984067906	0.000215289800627188	-0.135356566079072
GSM2858715	-0.0669604763120192	-0.0131357858525459	-0.0555535638198552	0.105524693023126	0.0515936229544156	-0.101349745780119	0.129004463239936	-0.0213771063013155	-0.0338821073434327
GSM2858717	0.026358878419855	-0.0567441083558276	0.0208533782105445	-0.0244806234919182	0.0330516514310166	0.155316264090535	-0.0151626491855419	-0.0279832894278928	-0.00458468590508894
GSM2858720	-0.0127637864906617	-0.0225095543271578	-0.0192902690195147	0.0961498517630474	-0.07103392952038	-0.123644533786225	-0.112755502437714	-0.0308360989639512	-0.0554858773608278
GSM2858721	0.000628885732624004	0.00852383945135743	0.0346656309878729	-0.0218317037893926	-0.0556240107785912	0.0824798793705532	-0.104357849812371	0.502633880725327	-0.0663181076973521
GSM2858723	-0.129097338155268	0.148828281107852	-0.123315645454746	0.100457417199259	-0.0916218682324922	0.0681940563598706	-0.0972302656507336	0.146762809746863	-0.101699102658949
GSM2858724	0.024306601913243	-0.0249057770174992	0.0460754257834563	-0.0560785633820415	-0.0216078039625447	-0.0412717129240698	-0.0656733438340445	-0.035532595513166	0.11581125462059
GSM2858725	-0.0503488923363871	-0.0277204552886347	-0.0394147244482907	0.1200210838783	-0.116451672752262	-0.0426714526700111	-0.109769652158658	0.0874880455885758	-0.0434089176675144
GSM2858726	0.0884231689434908	-0.0575563453855544	0.114644407777237	-0.0698439798954946	0.170739393539909	0.10579626039176	0.057447202889442	-0.0514387539752958	0.0614793906367713
GSM2858727	-0.0207238055977751	-0.0477855345902692	-0.0293203512638164	0.0991575995187489	-0.00239715165629367	-0.00668339949755601	0.0185662397538048	-0.0307728575545846	-0.052988869313971
GSM2858733	-0.131967171360982	0.0190822209380475	-0.146742316239187	0.234369345889821	-0.143996120008343	-0.0808955376983745	-0.0880797305301918	-0.0116428341641456	-0.0995753858372168
GSM2858737	0.0180279270360629	-0.0469220217289723	0.0303375037610975	0.0670927463584865	-0.0919472693500777	-0.0261040682219147	-0.109856382126859	-0.0299549800203112	0.117495437042985
GSM2858738	0.0112758366883814	-0.0238083869825789	0.0176713434094745	-0.00161250700443317	-0.0303632501997761	0.038866041479179	-0.0221709905800025	0.0265099601286683	-0.0387187504117526
GSM2858739	-0.111042570245562	0.126942880402421	-0.112246040172284	0.125333921432926	-0.0804154626175962	-0.0181432149532384	-0.0647182642650326	0.0655127960280485	-0.125096645331331
GSM2858740	-0.0980837227824018	0.162600976420074	-0.0826703102048525	0.0720066251560634	-0.0254369402600168	-0.0854426386986973	0.0440835740611155	0.0161968655858311	-0.081927503145535
GSM2858741	0.016039382613688	-0.0540923395810957	0.0142060487282838	-0.0167466096560544	0.0158637690855675	0.161103671745894	0.00369723095961504	-0.0299678119243193	-0.0697360895535005
GSM2858742	-0.0260523718235826	-0.0396235887392064	-0.039042326686444	0.0755858128970114	-0.000170646729793986	-0.0608307177881875	0.0517526850335086	0.0304921797053423	-0.0822945715968234
GSM2858745	0.0811058248648095	-0.0767005689358337	0.0816601357351772	-0.09277312670394	-0.00315903288921717	0.135866140365383	0.0444109861604918	-0.0202935294724934	0.0348349056643082
