ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8	ME9	ME10	ME11
GSM2858696	0.0881087649416909	-0.0833541652034021	0.0642796022434001	0.0717195159776926	-0.149111852442134	-0.176877223025396	-0.0359992877624301	-0.0316809236967452	-0.00316454106013637	-0.0127517031123611	-0.0398003207712807	-0.0862088110072048
GSM2858698	0.0048107829522075	0.00568846865263329	0.048186817152858	-0.0555244133693797	-0.0493456169094801	-0.0413308963907402	-0.0313747230044486	-0.0353726135069103	0.0206518137829555	0.00128041919810461	-0.0258152547665721	-0.00960328280598649
GSM2858700	0.0588051284011751	-0.061081054186906	0.0556594751662259	0.0624230807661059	-0.106498940979895	0.0557476449604212	-0.000762912206502421	-0.0168871529230089	-0.00642660591549468	0.0162346661554843	-0.0109111564325884	-0.0998093304999693
GSM2858703	0.188464037894735	-0.173030319298076	0.15138302067493	0.067498118514561	-0.154074014031441	-0.109294117816801	-0.0326916334217362	0.00396966072493347	-0.163981554482082	-0.0063530568897874	-0.00652110317276649	-0.0656633980901344
GSM2858708	0.101238057713697	-0.0929154391810256	0.0719804872746178	0.0246502894778706	-0.163878904891694	-0.029696850467053	-0.0207670726399652	-0.0226572219599303	-0.117112824698328	0.0310430771466056	-0.0215250279334891	-0.086217165844258
GSM2858709	0.076300537351848	-0.0668551848268448	0.0602673674160479	0.028945586933145	-0.173509498845551	-0.12372938669017	-0.0259935044300296	-0.0160552254302909	0.0244231275824346	0.000352698811712421	-0.0267398640701791	-0.0801480382963144
GSM2858710	-0.0588406616572447	0.0463142907544606	-0.0243109988892299	0.0476373345842732	0.106280847154277	0.0944935818654361	-0.00314166856449001	-0.0248581631688434	0.0119688656049359	0.00246776290501462	-0.0246318927815481	-0.00227512757355869
GSM2858714	0.207803597538869	-0.223888349738793	0.166386477617495	0.228417495126814	-0.175745632318976	-0.200645411094231	-0.06770830845308	0.658470474955343	-0.136564741207188	-0.0029812203677515	0.973873159962603	-0.0709129675757168
GSM2858715	0.105964986924745	-0.0889041867069476	0.0725112180076365	-0.00831173166578048	0.0429251885376543	-0.124532854792504	-0.0201495383108363	-0.0320001353804533	-0.0641467792266181	0.0238498090384651	0.054476150964192	0.0722620161444823
GSM2858717	-0.00135827718261266	-0.00189453819260657	0.0415751952014777	-0.0565008249327467	0.00621661809689047	0.152148144163349	-0.0214875517411373	-0.0329177975595858	0.00342134911629633	0.00486378212641737	-0.0222439085395012	-0.0876182574947183
GSM2858720	0.0474992925760608	-0.0306851340320082	0.0526313670832352	-0.016579858734423	-0.0931112601117442	-0.15200087441016	-0.00435119298655716	-0.0275738605063594	-0.152097776962185	0.0126644752694764	-0.0144693747894075	0.0607835672312683
GSM2858721	0.0197234190415166	-0.0123497514771484	0.0500069950721312	0.0219470804532534	-0.0797275710754809	0.0696059557500803	-0.0061448559259693	-0.0353726135069103	-0.105516994677742	0.00128041919810457	-0.0074587659673606	-0.126040584079963
GSM2858723	0.171960680801686	-0.159268983657726	0.119256566144363	0.201572167817503	-0.124847514636747	0.0403743411647621	-0.0209788572953873	-0.0256861762308799	-0.197001917880334	-0.00398850718835812	-0.0310665119647562	-0.106507570608398
GSM2858724	-0.00507131707814414	0.000425916377883976	0.0446981335419552	-0.0239524893766126	-0.0489097935229435	-0.0551150816127117	-0.0364144130464352	-0.0431552254977686	-0.0325005467629901	-0.0100800753937104	-0.0371376522769024	0.00249116714759829
GSM2858725	0.0906769237633061	-0.0709924693882558	0.073884790809456	-0.024703789811629	-0.140011531778711	-0.070802527071644	-0.0110514811927287	-0.021798084942516	-0.129927957406287	0.00914400919530251	-0.0179780350850735	-0.104766281931073
GSM2858733	0.178205082227871	-0.156002027684672	0.113348223966156	0.0152117014473542	-0.171504876295422	-0.108193593254242	0.0762030920263944	0.0684280165346746	-0.104528905754536	0.0361883945402901	-0.00837302547183586	-0.0825435242017585
GSM2858737	0.0170479570894789	0.0114570624771973	0.0477428390254173	-0.0504714362756009	-0.125148181228185	-0.0579492199445832	-0.0187591645171417	-0.0245859688570054	-0.0766957399135877	0.01702598358613	-0.0101224926614637	-0.103829569633144
GSM2858738	0.00653351031769791	0.00264282721758113	0.0465900914866952	-0.02122582224101	-0.0449486391640244	0.0172761342897625	-0.00485437405521705	-0.0109892940871616	0.216942193705083	0.0215158988950739	-0.00564763415026769	-0.0843344703511529
GSM2858740	0.124338053506207	-0.11094992893695	0.0698825634763928	0.222042441762796	-0.0409183173644342	-0.109097009715641	-0.00943081683157768	0.076159970165699	-0.134932700725909	0.00756375402982313	-0.000769362040616308	-0.00248696706446312
GSM2858741	-0.00513288452383443	-0.00639877369509826	0.036437823182929	-0.057865558690158	0.00355990284479461	0.159350258684572	-0.0111061982400169	-0.017473897226724	-0.0416089277108903	0.0152569561778008	-0.0118855876888759	-0.00670750200471397
GSM2858745	-0.078255472476263	0.0725946372638885	-0.0438378768337498	-0.0761387479068555	0.0103008936973705	0.124693239038905	-0.00954948465230671	-0.0247302021205018	0.0552835622908987	0.0168154422907609	-0.0103323279128466	0.0451715832451191
GSM2858747	-0.050950499431262	0.0531539074667636	-0.0218031377081275	-0.0408855782310901	0.129100103553173	0.106323794102145	0.00529929085224517	-0.020973713542071	-0.0422581076325353	0.0222988928636027	-0.00486726592877644	0.0437597392745098
GSM2858750	0.0941566891803345	-0.0645090376694538	0.0642653278777719	-0.00893334890604934	0.0121059662569878	-0.0646283122786597	0.0170861571233915	-0.0171897854580659	-0.124050081913762	0.0278223976438295	0.000637715942083055	0.00709173318179819
GSM2858751	-0.150002410263949	0.153539231730292	-0.196505937758926	-0.105096534199145	0.120952554072434	0.0374214636508972	0.00285836722614647	-0.0120462449366519	0.191134467038506	0.0353305664109407	0.00812070628804267	0.0854355058704741
GSM2858753	-0.0948090492759918	0.107266473590981	-0.0304650667776343	-0.0294235254957421	0.0514445836519896	-0.0189553646234812	-0.0090497520234626	-0.024387465849861	0.109651649364057	-0.00814991748656526	0.0171091427901097	-0.0438621230094807
GSM2858755	-0.122895459743082	0.133132400785754	-0.13733529717234	-0.0860403548078965	0.0693013287131012	0.198906158022891	0.01791512300997	-0.010178366530249	-0.0449352863059619	0.0380571603306985	0.0108381566560038	0.0588577076913653
