ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8
GSM2858724	-0.0201362695373794	0.0236828651207566	0.0308098730956164	-0.0274400143992166	-0.0316938270484149	-0.0350120179768487	-0.0302721038902506	-0.0337466614118029	-0.0126812810602959
GSM2858725	0.0637551051218261	-0.0416647386289047	0.058174552204221	-0.0401772737273752	-0.115923647745476	-0.0504681268976615	0.0604799984519955	-0.0170204574438322	0.0038552934641539
GSM2858726	-0.0828866755327235	0.0972606412292742	-0.0586817300559496	-0.0519751057940739	0.149614335043878	0.114470002722809	-0.0450965458457642	-0.00311650235261776	0.0176016157014502
GSM2858727	0.0330050151830592	-0.0244016179966636	0.0484815445308605	-0.057724574864113	-0.0115087947565749	-0.011701149113864	-0.0265050117394076	-0.0125252310260301	0.00829955629896124
GSM2858733	0.135681350397068	-0.119894800544076	0.0900217627910501	0.00145111264640543	-0.139664877088298	-0.0853733894268434	-0.0165785556340803	-0.00166783603555692	0.0190338581014
GSM2858737	-0.00195345210405777	0.0214924554585874	0.0344412114492124	-0.0543400227621489	-0.10214462433547	-0.0374546576991611	-0.0343139580035979	-0.0357727656991361	0.0123846560570617
GSM2858738	-0.0104307864499066	0.017393617986255	0.0324507116327376	-0.0284882227057625	-0.0276176109124232	0.0325549873887472	0.00787232402473485	-0.00220202969366923	0.0185057207395229
GSM2858739	0.107083969672762	-0.104612282511333	0.0708256657196731	0.126211636888739	-0.0844010034314252	-0.0281788820999469	0.0501939911038446	-0.0164248379791347	0.00444416023183434
GSM2858740	0.088067372148655	-0.0851448386023115	0.0552839878277782	0.166613915387675	-0.0197925444923206	-0.0808697278151334	0.0258080636997313	-0.0178096087739048	0.00307508895356652
GSM2858741	-0.0182068785328003	0.00804338051051692	0.0146021583099836	-0.0617932233454118	0.017338244836165	0.153352651966611	-0.033076308717077	-0.0087648668281634	0.0120172882431711
GSM2858742	0.0425447686251657	-0.0344727586851351	0.0524683604812372	-0.0461821420746725	0.00466188099255563	-0.0633585100380815	0.0115965711715021	-0.0221947305100006	-0.00126031748573026
GSM2858745	-0.0805146887007551	0.0773659764625999	-0.0727840914044614	-0.0761891702003846	0.0188166615263872	0.126661944613961	-0.0286703968613532	-0.00597033016758687	0.0147801424949442
GSM2858746	0.0515221784887648	-0.0354825079655452	0.055984479979939	-0.0262494810556785	-0.0465169819006218	-0.0854692193278876	-0.0216203408422732	-0.00802630835607687	0.0127474734805215
GSM2858747	-0.0581577153462118	0.0571272923804829	-0.0441562109000193	-0.0428105083683795	0.124645689310426	0.107447539225822	0.0941362565412636	0.0184068405068373	0.0196647322206885
GSM2858748	0.137190649535954	-0.13254218248641	0.0847797309657326	0.0692218838278587	-0.111696035973103	-0.0902174696189604	-0.0179262874317012	-0.00468620655939631	0.0160497076506789
GSM2858749	0.13121222822906	-0.134538510274386	0.0823054273959267	0.096467883850925	-0.0225452113073324	-0.0951190783293792	-0.0177495878969125	0.0735981725143762	0.00573904163143191
GSM2858750	0.0625994749115049	-0.0486751191126567	0.0586581430850274	-0.0254948234041035	0.0285491130189372	-0.0464827329950012	-0.0228498296882382	0.00283987421897073	0.0234904632403404
GSM2858751	-0.145621050855677	0.151176107150314	-0.182647329521134	-0.0979990198503048	0.118444592450908	0.0507038531172179	-0.0476363995888509	0.0148365480996328	0.0353511276237818
GSM2858753	-0.0943151632023407	0.119529294920811	-0.0599002430257397	-0.0388433963134228	0.057097501274221	-5.33134998469835e-05	-0.0316608971125912	-0.00290330413697882	-0.0165611773847468
GSM2858755	-0.1181145063562	0.130338982279405	-0.148873935701654	-0.0853593599671142	0.0648509032400321	0.197082544230841	0.225244661288002	0.0193710399804844	0.0398342107585927
GSM2858756	0.0913689622677131	-0.0830792104242023	0.0768195843500163	0.151761930103886	-0.121184439182469	-0.0999173593486311	0.0016230846522632	-0.0156488848880809	-0.0216030423144834
GSM2858758	-0.115699178387565	0.119319325699505	-0.117988546096093	-0.0906843161097797	-0.0215347390731971	0.020682976814202	-0.05896174307074	0.00534808427434261	0.0259702370481366
GSM2858759	-0.0628725463869129	0.0522099051608702	-0.0243757531813795	-0.0813397555192552	0.114600357020042	0.238527937910162	-0.0480465273584084	-0.0120739060348574	0.00874576449811778
GSM2858761	-0.0940010929604255	0.0753396474752305	-0.12368303862035	-0.0702171184726693	0.115956040518716	0.10249074920783	-0.0517797520933502	0.0128852882504875	0.0334219897289106
GSM2858763	0.0569024710695142	-0.0691923911494075	0.0504953518863617	0.157247715162033	-0.0711582889260928	0.0633967284565606	-0.0211334744914364	-0.0196082064298888	0.00129688247978238
