A	B	correlation	p-value
ME18	ME49	-0.0705645618265547	0.706015865484566
ME29	ME49	-0.084604078052692	0.650901094679602
ME32	ME49	-0.0222406025156797	0.905468520928693
ME34	ME49	-0.0167286947342176	0.928827658685699
ME45	ME49	-0.0694688933930298	0.710383653184083
ME21	ME49	-0.075827956863769	0.685163582719387
treat_Treat	ME49	-0.113882698613588	0.54185839521004
ME40	ME49	-0.0323489668462107	0.862844131843101
ME24	ME49	0.00395041865565306	0.983172929712297
ME25	ME49	-0.0314093745024822	0.866792098429966
ME35	ME49	-0.0500073613050029	0.789350273895012
ME38	ME49	-0.0119673756276975	0.949053427503438
ME14	ME49	-0.0600901665460321	0.748127492707796
ME41	ME49	0.0614538057964819	0.742601616864084
ME17	ME49	-0.053405996079951	0.775386623357459
ME36	ME49	0.0045457918190232	0.980637338963709
ME20	ME49	0.0820834175616446	0.660674373128121
ME48	ME49	0.0609265884896032	0.744736587121091
ME3	ME49	0.144627089521487	0.437599658517951
ME0	ME49	0.019802846714497	0.915791183045453
ME2	ME49	0.00786337481520071	0.966512399446028
ME22	ME49	0.0405883293987025	0.828373069764252
ME6	ME49	-0.0177649400377386	0.924431091437254
ME23	ME49	-0.00707307780551647	0.969876422041646
ME8	ME49	-0.0843058316263408	0.652054555254219
ME28	ME49	0.0357685240752791	0.848503931534621
ME33	ME31	0.0121479122818417	0.94828587375683
ME49	ME31	-0.0419570343625244	0.822675244341805
ME31	ME31	1	0
ME43	ME31	0.0570490293451514	0.760494961954679
ME47	ME31	0.0716897424777701	0.701539958022332
ME12	ME31	0.00119178278464595	0.994923198123181
ME4	ME31	-0.0301084024833927	0.872263686454639
ME15	ME31	-0.00907758127027289	0.961345059614475
ME16	ME31	0.00693623593906197	0.970458963968716
ME7	ME31	0.0165041530457037	0.929780616815671
ME10	ME31	0.0409029398317518	0.827062599662372
ME30	ME31	0.0129597163556013	0.944835050459158
ME37	ME31	0.038575651349913	0.836767193421923
ME42	ME31	0.0272058595086669	0.884491636920196
ME26	ME31	-0.0431285055969466	0.81780550257493
ME44	ME31	0.012074680216445	0.948597215318057
ME39	ME31	-0.0389840633469802	0.835062405094301
ME27	ME31	0.0110380304368015	0.953005243585732
ME1	ME31	0.0302155876328045	0.871812668065299
ME5	ME31	0.0212259733966357	0.909763220221432
ME9	ME31	-0.0457734957874024	0.806835148865991
ME11	ME31	-0.0804751675297865	0.666938884075364
ME52	ME31	-0.123316869404216	0.508667598784445
ME19	ME31	-0.0402701796543266	0.829698742718729
ME50	ME31	-0.0930138380409444	0.618710663789984
ME51	ME31	-0.00275358763361727	0.988270487350457
treat_Ctrl	ME31	0.0968665684216878	0.604187124243132
ME46	ME31	-0.0207321700400841	0.911854291389056
ME13	ME31	-0.0225255783119485	0.904262747477859
ME18	ME31	-0.0260966718637732	0.889171513756754
ME29	ME31	-0.0165511518123945	0.929581145443385
ME32	ME31	-0.0204234796781141	0.913161773401664
ME34	ME31	0.0419411191182555	0.822741448135807
ME45	ME31	-0.0475808197691549	0.799359610969431
ME21	ME31	0.0231429448656621	0.901651301634031
treat_Treat	ME31	-0.0968665684216878	0.604187124243132
ME40	ME31	0.0139399043441997	0.940669771434416
ME24	ME31	0.0330969550984067	0.859703558051794
ME25	ME31	0.0243832872314162	0.896407756067174
ME35	ME31	0.0160613178741199	0.931660293926754
ME38	ME31	-0.0497521752039178	0.790401382669883
ME14	ME31	-0.118736998402646	0.524653215293281
ME41	ME31	-0.110478996149174	0.554078994615822
ME17	ME31	-0.0848982215714057	0.6497642769667
ME36	ME31	-0.104342716530356	0.57642772901678
ME20	ME31	0.000769881250989761	0.996720418194518
ME48	ME31	0.0459114822445226	0.806263804258842
ME3	ME31	-0.193029998888856	0.298151768474941
ME0	ME31	-0.0402198230974895	0.829908611665634
ME2	ME31	0.0276083636928264	0.882794329235651
ME22	ME31	0.0191266401358236	0.918657031957632
ME6	ME31	0.00917275581803339	0.960940084368236
ME23	ME31	0.00379266979955782	0.983844782633736
ME8	ME31	0.0366115613393377	0.844975688974784
ME28	ME31	-0.00898062296423902	0.961757634607866
ME33	ME43	0.0154989365667201	0.934047920871534
ME49	ME43	0.014125961273335	0.93987929842499
ME31	ME43	0.0570490293451514	0.760494961954679
ME43	ME43	1	0
ME47	ME43	-0.0218079605027464	0.907299485100138
ME12	ME43	0.0706325577727505	0.705745105894265
ME4	ME43	0.00605323025463809	0.974218304677413
ME15	ME43	0.129655270236446	0.486950332112569
ME16	ME43	0.00504137788278717	0.978526864386588
ME7	ME43	0.0949987375151422	0.611210160362962
ME10	ME43	0.125924074090519	0.499676744203435
ME30	ME43	0.0915580635440257	0.624235789173403
ME37	ME43	0.176144423903173	0.343196729728254
ME42	ME43	-0.0154004894659029	0.934465942918697
ME26	ME43	0.0678823090132826	0.716724405363684
ME44	ME43	0.130687334300312	0.483459689893054
ME39	ME43	0.157916295633911	0.396186700744026
ME27	ME43	0.162739865949587	0.381729594956398
ME1	ME43	0.120076030324201	0.519954374033876
ME5	ME43	0.155410477361988	0.403818932227163
ME9	ME43	0.0392105419571724	0.834117356686301
ME11	ME43	0.0150503131772585	0.935952985103055
ME52	ME43	0.00585562191919612	0.975059686737205
ME19	ME43	0.067889896454873	0.716694037857071
ME50	ME43	0.0592791772054988	0.751419706302742
