ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8	ME9	ME10	ME11	ME12	ME13	ME14	ME15	ME16	ME17	ME18	ME19	ME20	ME21	ME22	ME23	ME24	ME25	ME26	ME27	ME28	ME29	ME30	ME31	ME32	ME33	ME34	ME35	ME36	ME37	ME38	ME39	ME40	ME41	ME42	ME43	ME44	ME45	ME46	ME47	ME48	ME49	ME50	ME51	ME52
GSM2858727	-0.0727461823728924	0.0139625745793136	0.0532249638622229	-0.19798907855804	-0.0177552860492998	-0.0242526097243326	0.0255305885559396	-0.0345623702058735	-0.0298785814140105	-0.0496679779840278	-0.0503404348697461	-0.0384969633524568	-0.0270978143780264	0.0112346457612967	-0.0587847760048617	-0.0233706015132407	-0.0172659809414836	-0.0469430788486841	-0.0451214852703411	-0.0553260053840235	-0.00489735321943049	-0.0449112038700163	0.0501132282575928	0.00958832982256248	0.0658420674506876	-0.00741418840763962	0.0109081146355462	-0.0574575052268097	-0.0346843751933521	-0.0353663034300025	-0.0413147739146916	-0.0319599767047537	0.969531933027972	-0.0553192364023119	0.0249526696908879	0.0544992460176408	-0.0497818938715006	-0.0182278004810707	-0.0409143235975088	-0.0432033905803863	-0.0819887255057067	-0.0720204205156078	-0.0366003982189224	0.0441179660137834	0.00959594560657034	-0.0173842633044517	-0.0358437711963881	0.0379032556883941	0.0373417414327133	-0.0567874449716154	-0.044807925301993	-0.961980029893616	0.0323155397842791
GSM2858739	0.1572510489401	-0.0779483104985987	0.112933694009802	0.155314191508312	-0.0632699241027658	-0.0616295550603528	0.0322214246914941	-0.0294114241444267	-0.022257705814637	-0.0672774070972529	-0.0696821074646173	-0.0083119956800592	-0.0560998285676369	-0.0239344994195515	-0.00916545117619301	-0.0827440894282952	-0.0583525381564985	0.0193898375522285	-0.0550444869566797	-0.0389348025320632	0.036618725118417	0.0254018215546481	0.0519245241578301	0.0416800162686549	0.0840064632588304	0.0321696143369115	-0.0372069107199418	-0.0883731176967986	-0.0104760499373359	-0.0324131521207845	-0.0487909431746734	-0.0350626031905731	-0.0670711202281343	-0.0429157985989947	0.0368365222241417	0.066550933043623	0.0811745224938922	-0.0961056545095353	-0.0264953899274787	-0.0850401609617999	-0.0350362123499899	-0.0608485922394848	0.0642053929566494	0.0441179660137834	-0.0544242214408579	0.971007002309548	-0.0326492101050544	0.0379032556883941	0.0301323002396913	-0.0477051973789057	-0.055884556755425	0.0438119483014159	-0.0670596127644065
GSM2858742	-0.0691309325320063	-0.0846435640497362	0.0477354448487953	-0.185212013968349	0.00528035049478943	-0.0575097585411645	0.0447483417683062	-0.0599617558175162	-0.0372260863090211	0.937143374714142	-0.0736720743707818	-0.0704837346058425	-0.0766352476306104	0.00301727983417487	-0.113468112794771	-0.0479966572936656	-0.0633343447088325	-0.0522133416874063	-0.0594147109703837	-0.0245673567608199	-0.0151800970795468	-0.0376568115888378	0.0580902637512402	0.0296631194998749	0.0521238249249003	0.0266448146610218	-0.0391453183096736	-0.0502994517985457	-0.0301943595134928	-0.0389452717983453	-0.0615446687216478	-0.0718897572221815	-0.017378830339841	0.0448143808591166	0.0446939236690381	0.0434891275728038	-0.0757266275352377	-0.0732227356405439	-0.052289254671592	-0.0371784591879781	-0.0456801859013594	-0.0798509782691	-0.0565226508584472	-0.0275100041529319	-0.0119195836551326	-0.0575176269021936	-0.0728507303647145	0.0219483562687374	0.0417993740452902	-0.00947594575523474	0.0397343408432181	-0.0445977097075242	0.655778384305869
GSM2858746	-0.020401182394119	0.00596094903413746	0.0646272551135568	-0.142546423628276	-0.0421984401333579	-0.0241685394185262	0.0262078993087994	-0.0535406562398642	-0.0150404058937601	0.0032049008549466	-0.0775875969563422	-0.0378460675850456	-0.0256061010687831	-0.0124248737226186	-0.0760230613565626	-0.0690722879376831	-0.0292153364799593	-0.0503816736417597	-0.011777436456956	-0.0199725168254161	0.0271350518690045	0.967583807443023	0.0645631173484302	0.0204805447176764	0.0877014897541323	0.0653467561331493	-0.0344194377264153	-0.0501183878763541	-0.0299484191030497	-0.011820527673947	-0.0276452175390083	-0.048614775589913	-0.0046460271328763	-0.0204967852660081	0.0623178200277107	0.0463728726781632	-0.0446641017629339	-0.0782928214179647	-0.0412694954921735	-0.0542874872918426	-0.0516730905937551	-0.0543289006317837	0.0724591367466361	0.0797837329266102	-0.0248721800215087	-0.0280464182745083	-0.0543456501222122	0.0174302937939647	0.0848785739442258	-0.0684310815946991	-0.0392709089981287	0.0176292056461573	-0.0867771184455501
GSM2858748	0.237930615461735	-0.0680425114253046	0.151634962730919	0.0824082861132446	-0.0818323972623937	-0.0283738845849766	0.0539247257934708	-0.0336726728342422	0.974796115965076	-0.048486491077003	-0.0980593238285061	-0.0310164399260426	-0.0168701282963647	0.0272317865059249	0.0180442493884014	-0.0803465035412149	-0.0304179259906401	-0.0181887326578108	-0.0716720189972156	-0.0411029064438392	0.0465125076924098	-0.0118457742125762	0.0690398916419284	0.306162860499481	0.0900868090613205	0.0464070813842633	-0.0436025394493629	-0.113419848711439	0.100258096151622	-0.0246726850443036	-0.0348543017609119	0.0436012344357362	-0.0351869242573077	-0.034559437387036	0.00163265231636762	0.117005861336715	-0.0494099704795157	-0.0988752163085014	-0.0357951974528543	-0.101390848092129	0.0538109619465746	-0.0668216570632988	-0.201039472579299	0.0614329513034267	-0.0456841087813111	-0.0313481014464807	-0.0215679211766845	-0.00663117160130972	0.0678895737222503	-0.0436326019498391	-0.0702475675955915	-0.0131467630904051	-0.00556345980204035
GSM2858749	0.234530638246123	-0.0796759341657913	0.143263414617726	0.0977123907729778	-0.0598101455147043	-0.0353074694532729	0.0551411202896152	-0.0623197481043623	-0.00272636602203874	-0.0739158556462713	-0.105275483892231	-0.0269050835965714	-0.0440442204099079	0.0259004467968218	-0.010971471362879	-0.094319619483081	-0.0310289600718123	-0.0104789765374084	-0.036714809849461	-0.0776860653716593	0.0493928691100199	0.0104155735972754	0.0594765501547235	0.0560629393889692	0.110179724163612	0.0402696606212594	-0.0587660287088667	-0.0756390883970361	0.963429747003479	-0.0311232301648139	-0.0129826118655994	-0.00384367307507258	-0.0679709687928166	-0.0492204016292129	0.0443860692855694	0.0368406758931521	0.0136685288221962	-0.102490399293405	0.0449433672646399	-0.0952225000356018	-0.0333995020386422	0.483028380875752	-0.010980303392144	0.0723025536932766	-0.0492605091184669	0.0359925197849653	-0.015690114578859	0.0657831704857421	0.0634775128997636	-0.0434855899015378	-0.029685452008786	0.0521379085150557	-0.0618545536990237
GSM2858761	-0.297685968208366	0.296228599989494	-0.416010384835966	-0.217815629937655	0.222201471077537	-0.00261608651587483	0.0273895935231139	0.0718701149584714	-0.0613297161334567	0.0633003287132781	0.240003098694438	-0.0264321713705046	0.957932931088219	-0.048512501831182	-0.0915889488820153	0.114501235921361	0.0144650222576693	-0.0430053626139056	0.00610613651989332	-0.00234405972222569	0.0726300620565766	-0.0305233849038514	0.0901544168568737	0.0486661229556615	-0.272212897699214	0.0602910788177794	0.0162168778374093	-0.0167155309503882	-0.0151130797051937	-0.00930281692807012	0.0224378781754065	-0.0242332841100945	0.0328518717253314	-0.00706728630760259	-0.972244786299694	-0.0667114559119286	-0.062801417867335	0.0225469672871153	-0.0169795991097903	-0.0214452153447083	-0.0100574035788988	-0.111912750299826	0.118603448231983	0.052394731734534	-0.0223577381757481	-0.0133249090297819	-0.00693576540560172	0.114285440284431	-0.0865880150009934	0.019092816118777	-0.000331883122976093	0.0810828496080303	-0.0437593281434001
GSM2858766	0.0457691960202384	0.00879962241293678	0.00120667176810671	0.249133345800146	0.0441356311668455	-0.0446068127161733	0.03747366208163	-0.0552766815730731	-0.026935534363754	-0.0606374267492552	-0.0806223102268601	-0.0442798123570329	-0.0319222594213661	-0.0495057141773745	-0.0165130716477376	-0.0654718957660684	0.0218703478528914	-0.0075916989046866	-0.036853347910841	-0.0311546422124114	0.0384667702675464	-0.0294598194793141	0.00841359879323983	0.0484707358643741	0.04315996894011	0.0318062231173637	-0.0404845190154937	-0.0669114800412759	-0.0411111888501754	-0.0250221766831726	-0.0541496885425283	-0.0251773224085383	-0.0552063568706383	-0.0241502795063035	0.0467277630810041	0.00533502236735446	0.110275790586778	-0.107203979706941	-0.0391023077687028	-0.0774586485502146	0.963980403066626	-0.0856459186756749	0.040542517112685	-0.954019434146538	-0.0443076631701201	-0.0345159350959356	-0.0215284812259692	0.0483757879052933	0.0722168881177353	-0.0174959476676857	-0.0653110689028144	0.0547204276005952	-0.0602400655159443
GSM2858767	0.095910056910642	-0.0374797046384617	0.0300821783890333	0.24515211197991	-0.0685629871549561	-0.0363584444816114	0.00659893812334207	-0.0203486391408232	-0.0258740266994347	-0.0708294955662575	-0.0403976785804908	-0.0215220572074682	-0.0194765812605681	-0.0663742532634611	0.0259768870517181	-0.0900478800292671	0.0146765805359496	0.00615201449145214	-0.0393946876501791	-0.0664651481938519	0.0277836433560119	-0.00383116271849718	0.0417317603286014	0.0482056345060295	0.0468292210325971	0.032282020021767	-0.0354981490893881	-0.0602615387404507	-0.034826247187246	-0.0291869897471777	-0.0277028022403909	-0.0655913125478018	-0.0572275356677459	-0.060219253470115	0.0118553995155462	0.0405309080581179	0.0218573297630497	-0.0520890986195952	-0.0483941048290745	-0.0633334533406075	0.0239548236968151	-0.0743258124947631	0.0518657506525012	-0.144445907480875	-0.029998032770907	-0.0250957990026486	-0.0297965213201242	0.0664333353497017	0.0378139239506469	-0.0661004085665611	-0.026948476347191	0.0436479012165218	-0.090107217198988
GSM2858780	-0.392956105357666	0.640463436658887	-0.51300426511502	-0.257116675264519	0.049507214903879	0.970872221880534	-0.976744756617528	-0.0375610060318313	-0.0205741201789852	0.166462498947938	-0.0633260712030594	0.0175145878629019	0.0116801110764653	0.00684169804458363	-0.0444472463517362	-0.0354212992775708	-0.0713752994371135	-0.00504631670378448	-0.00542007129554237	0.160158788214977	0.103503444037104	-0.0255033987048523	-0.66280411321241	-0.720057654305029	0.128277332188368	0.102217668268905	0.00491936327914102	0.694241641713842	0.0149904133983312	0.0341222372453009	0.0348228493013219	0.0165797935623469	-0.0180641787238416	0.0213467499107689	0.104090073135173	0.149714156166408	-0.0412024168046992	0.290549828928368	0.0214135905774653	0.683247255568814	0.0275952402703365	-0.197942383643387	0.152464480029638	0.130603288144522	0.688520196884659	-0.017255648001156	-0.0193106044824611	0.109109183115388	0.0640139166481089	0.0081140813014853	0.066542197822968	0.117982012353622	-0.0206914396805968
