GSM2858678	GSM2858682	GSM2858686	GSM2858688	GSM2858690	GSM2858692	GSM2858694	GSM2858699	GSM2858701	GSM2858705	GSM2858707	GSM2858711	GSM2858713	GSM2858716	GSM2858718	GSM2858726	GSM2858727	GSM2858729	GSM2858739	GSM2858742	GSM2858746	GSM2858748	GSM2858749	GSM2858760	GSM2858761	GSM2858766	GSM2858767	GSM2858772	GSM2858780	GSM2858789	GSM2858792
64802	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
116362	7	7	8	7	7	7	7	7	7	7	7	7	7	8	7	6	7	7	7	7	7	7	7	7	8	6	7	7	6	7	7
10277	7	6	7	7	7	7	7	7	7	7	7	7	6	7	7	8	7	7	7	7	7	7	7	7	9	7	7	7	8	7	7
23095	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	6	6	6	7	6	7	6	6	8	6	6	6	7	7	7
5226	8	6	7	7	7	7	7	8	7	7	8	7	8	7	7	9	7	7	7	9	8	6	7	6	9	7	7	7	8	7	9
23435	9	7	8	8	8	8	8	8	9	8	9	8	8	8	8	9	8	9	8	9	8	8	8	8	9	8	8	8	10	9	9
100873935	6	5	5	5	7	7	7	6	7	6	6	6	6	6	6	5	6	6	6	5	6	7	6	6	5	6	5	5	6	6	6
10218	5	5	5	6	6	6	5	6	5	6	5	5	5	6	6	5	6	5	5	6	6	6	6	5	5	5	5	5	5	5	5
29914	7	6	6	7	7	7	7	7	7	6	7	6	7	6	6	7	6	6	7	6	6	7	7	7	7	7	7	6	7	6	6
57540	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
101929181	6	6	5	6	6	6	6	5	6	5	6	6	6	6	5	5	5	5	6	5	6	6	6	6	5	5	5	5	5	5	5
93611	7	7	6	7	7	7	7	7	7	7	6	6	7	7	7	6	6	6	7	7	6	7	7	6	6	7	6	6	6	6	6
26270	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7
374946	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5
57085	6	6	6	6	7	7	6	6	7	7	7	6	7	6	7	7	7	6	7	7	6	6	6	7	8	7	7	6	7	7	7
284498	6	6	5	6	6	6	6	5	6	5	6	5	6	6	6	5	5	5	6	6	6	6	6	6	5	6	6	5	5	5	5
1185	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
5351	7	7	7	7	7	7	7	7	7	7	8	7	7	8	7	12	7	8	7	7	7	7	7	8	10	7	7	8	9	8	8
9927	7	7	7	7	7	7	8	7	7	7	8	7	7	7	7	8	7	7	7	8	8	7	7	7	8	7	7	7	9	7	8
60672	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	5	6	6	6
943	6	6	5	6	6	6	5	6	6	6	6	5	5	5	5	5	5	5	5	5	5	6	6	6	5	6	6	5	6	5	5
7133	6	6	6	6	7	6	6	6	7	6	6	6	7	6	7	7	6	6	6	6	6	6	7	6	7	7	7	6	7	6	7
55187	7	6	7	6	7	7	7	6	7	7	7	6	6	6	7	7	7	7	7	7	7	6	6	6	8	7	7	7	7	7	7
343066	4	4	4	4	5	4	5	5	4	4	4	4	5	4	4	4	4	4	4	4	5	4	4	4	4	5	5	4	4	4	4
126767	4	4	4	5	5	5	4	5	4	4	4	4	5	5	4	4	4	5	5	5	4	4	5	4	4	4	5	4	4	4	5
93190	5	5	5	5	6	5	5	6	6	5	5	5	6	6	5	5	5	5	5	5	5	5	6	5	4	5	5	4	4	5	5
390999	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	6	6	5	5	6	4	5	4	6
65121	5	5	4	5	5	6	5	5	5	5	5	4	4	5	4	4	4	4	5	4	4	5	5	5	4	5	5	4	4	4	4
65122	5	5	5	4	5	5	5	5	5	4	5	4	5	5	5	5	4	5	5	4	5	5	4	5	4	5	5	4	4	4	4
391002	6	6	5	6	6	6	6	5	6	5	5	5	5	5	4	5	5	5	5	5	5	6	6	6	4	6	6	4	4	4	5
391003	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	4	5	4	5	5	5	4	5	5	4	5	5	4	4	4	5
