ID	logFC	P.Value	adj.P.Val
PSR17006626.hg.1	PSR17006626.hg.1	-1.32453246884164	0.000291320416870439	0.008260872440271
2928786_st	2928786_st	-1.89909839992669	0.000292571374314108	0.00827374079549371
TC05002034.hg.1	TC05002034.hg.1	-2.31144501246334	0.000292912732265147	0.00827680235198286
PSR16011596.hg.1	PSR16011596.hg.1	-1.48743951209677	0.000295214040288797	0.0082915723109431
PSR03004157.hg.1	PSR03004157.hg.1	-1.45740489296187	0.00030226622047695	0.00836605991628569
PSR05013909.hg.1	PSR05013909.hg.1	-1.83582004435484	0.000307842405191453	0.00841910750241277
3045314_st	3045314_st	-1.57064962170089	0.000315475599242664	0.0084981992686747
3090559_st	3090559_st	-1.42225830975075	0.000340492885988599	0.00870343209336841
2928788_st	2928788_st	-1.82029696517595	0.000343768614910088	0.00874014869723746
PSR03025024.hg.1	PSR03025024.hg.1	-1.20199766568916	0.000348151764334714	0.0087782291298452
3607151_st	3607151_st	-1.81310072214076	0.000348875461230668	0.00879053020559505
TC14000880.hg.1	TC14000880.hg.1	-1.19892954215543	0.000350121432304957	0.00879531053375265
PSR17013116.hg.1	PSR17013116.hg.1	-1.18717772214077	0.000351395149275639	0.00881274541691532
TC11001423.hg.1	TC11001423.hg.1	-1.07954256964809	0.000363785702550878	0.00892667331280292
3295148_st	3295148_st	-1.2277337760264	0.00036631233373501	0.00894942932764127
3615298_st	3615298_st	-1.54062201356305	0.000366362781913707	0.00894942932764127
TC20000840.hg.1	TC20000840.hg.1	-1.3889301143695	0.000374072228156111	0.00903886179258357
PSR11017845.hg.1	PSR11017845.hg.1	-1.54907038746335	0.000375399685160397	0.00903886179258357
PSR14009903.hg.1	PSR14009903.hg.1	-1.22714237829912	0.000375966446705901	0.00904307016406556
PSR11002180.hg.1	PSR11002180.hg.1	-1.1721969824047	0.000376409055693341	0.00904933534919465
3637135_st	3637135_st	-1.46192156854839	0.000377000348188526	0.00905250104027899
JUC06021789.hg.1	JUC06021789.hg.1	-1.9896122664956	0.000387083364560635	0.00914821719802603
PSR11002948.hg.1	PSR11002948.hg.1	-1.27775420307918	0.000391635276740924	0.00916210534084788
TC11001632.hg.1	TC11001632.hg.1	1.07511454178886	0.000393883512414586	0.00917972470126036
3597901_st	3597901_st	-1.37590125879766	0.000397565442093482	0.00920177789677101
3670179_st	3670179_st	-1.53708551869501	0.000403546613417201	0.00924303923937034
PSR01029231.hg.1	PSR01029231.hg.1	-1.45593960007332	0.000417766712520899	0.0093556658337568
PSR06007487.hg.1	PSR06007487.hg.1	-1.33619216275659	0.000423258434435817	0.00938939770367849
PSR12025190.hg.1	PSR12025190.hg.1	-1.03075414076247	0.000426616655185764	0.00941980454295389
PSR05013910.hg.1	PSR05013910.hg.1	-1.26942264406159	0.000432469438212647	0.00949534314790489
47420624_st	47420624_st	1.02174311143695	0.000433329765626693	0.00949944515427145
TC01006043.hg.1	TC01006043.hg.1	1.50810458541056	0.000435544774040936	0.00951442698547798
PSR03025023.hg.1	PSR03025023.hg.1	-1.07471771077713	0.000437495345894428	0.00952562033915183
PSR05023576.hg.1	PSR05023576.hg.1	-1.85649940469208	0.000438822243580375	0.00953746980413533
PSR18005600.hg.1	PSR18005600.hg.1	-1.2273891840176	0.000448938575588569	0.00960135047166513
TC07002675.hg.1	TC07002675.hg.1	-1.31855960557185	0.000451439394331068	0.00961975839471804
PSR01029258.hg.1	PSR01029258.hg.1	-1.37995361730205	0.000453254812938037	0.00964250050462418
TC08001191.hg.1	TC08001191.hg.1	-1.02994175549854	0.00046938936550999	0.00979951042743073
TC17000410.hg.1	TC17000410.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
TC17000418.hg.1	TC17000418.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
TC17000425.hg.1	TC17000425.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
TC17000431.hg.1	TC17000431.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
TC17000454.hg.1	TC17000454.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
TC17000732.hg.1	TC17000732.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
TC17000749.hg.1	TC17000749.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
TC17001050.hg.1	TC17001050.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
TC17001417.hg.1	TC17001417.hg.1	1.58532864332844	0.000472774858787069	0.0098103719556957
PSR18005589.hg.1	PSR18005589.hg.1	-1.29536690835777	0.000483210862945332	0.00989186638243647
PSR02018287.hg.1	PSR02018287.hg.1	-1.02103142851906	0.000487997009669153	0.00990531894446854
